run,method,success,expansions,path_cost
44,uncertainty,1,66,62.0
44,multiobj_risk_averse,1,57,48.0
45,classic,1,710,62.0
45,learned,1,319,62.0
45,uncertainty,1,83,68.0
45,multiobj_risk_averse,1,51,48.0
46,classic,1,678,62.0
46,learned,1,279,62.0
46,uncertainty,1,68,66.0
46,multiobj_risk_averse,0,859,inf
47,classic,1,686,62.0
47,learned,1,216,62.0
47,uncertainty,1,66,64.0
47,multiobj_risk_averse,0,873,inf
48,classic,0,1,inf
48,learned,0,1,inf
48,uncertainty,0,1,inf
48,multiobj_risk_averse,0,1,inf
49,classic,0,844,inf
49,learned,0,844,inf
49,uncertainty,0,844,inf
49,multiobj_risk_averse,1,41,40.0
