instance_id,state_x,state_y,h_star,mu,sigma,error,abs_error,rel_error,grid_size
1,31,31,0.0,31.177032470703125,3.7354062982291494e-21,31.177032470703125,31.177032470703125,31177032.470703125,32
1,30,31,1.0,43.01850128173828,8.5928352668781e-22,42.01850128173828,42.01850128173828,42.01845926327902,32
1,31,30,1.0,42.56517028808594,6.75749258620336e-23,41.56517028808594,41.56517028808594,41.56512872295722,32
1,30,30,2.0,54.41477584838867,1.7710203204112057e-23,52.41477584838867,52.41477584838867,26.207374820506924,32
1,31,29,2.0,53.629058837890625,3.2149983317404934e-24,51.629058837890625,51.629058837890625,25.814516511687057,32
1,29,30,3.0,66.2862777709961,8.508346849711187e-24,63.286277770996094,63.286277770996094,21.095418891859065,32
1,30,29,3.0,65.4984130859375,9.272255083700873e-25,62.4984130859375,62.4984130859375,20.83279741771336,32
1,31,28,3.0,64.85379791259766,1.302096652052112e-25,61.853797912597656,61.853797912597656,20.61792576489063,32
1,28,30,4.0,78.18094635009766,4.119424612735888e-24,74.18094635009766,74.18094635009766,18.545231951216426,32
1,30,28,4.0,76.62723541259766,4.7839736078360644e-26,72.62723541259766,72.62723541259766,18.156804313948335,32
1,31,27,4.0,76.15471649169922,4.886204655234679e-27,72.15471649169922,72.15471649169922,18.038674613256152,32
1,27,30,5.0,89.65650177001953,7.033645999355689e-25,84.65650177001953,84.65650177001953,16.93129696774451,32
1,28,31,5.0,66.68455505371094,1.3586196401487307e-22,61.68455505371094,61.68455505371094,12.336908543360478,32
1,28,29,5.0,89.05980682373047,1.2909684920396966e-25,84.05980682373047,84.05980682373047,16.811958002354494,32
1,29,28,5.0,88.36571502685547,2.0017414617951464e-26,83.36571502685547,83.36571502685547,16.673139670743158,32
1,30,27,5.0,87.93041229248047,2.0729308292391282e-27,82.93041229248047,82.93041229248047,16.586079141280266,32
1,31,26,5.0,87.41205596923828,1.2399437485034105e-28,82.41205596923828,82.41205596923828,16.482407897366077,32
1,27,31,6.0,78.19329071044922,1.8070531675344112e-23,72.19329071044922,72.19329071044922,12.03221311303935,32
